ensemble,dmfdma_mean,dmfdma_std,dmfdma_lower,dmfdma_upper,dmamma_mean,dmamma_std,dmamma_lower,dmamma_upper,mmanh3_mean,mmanh3_std,mmanh3_lower,mmanh3_upper
0,0.5659850044884601,0.6795695161248329,-0.11358451163637273,1.245554520613293,0.149500791747393,0.1807344989864398,-0.03123370723904681,0.33023529073383284,0.7780208222684449,1.1747259227273685,-0.3967051004589236,1.9527467449958134
1,0.5659961543353796,0.679546061071167,-0.11354990673578735,1.2455422154065467,0.14950284531476707,0.18073174789851462,-0.031228902583747553,0.3302345932132817,0.7780338513346368,1.1747225194938231,-0.39668866815918635,1.9527563708284599
2,0.5660072809965125,0.679522632196698,-0.11351535120018541,1.2455299131932105,0.1495048998510826,0.18072899689100236,-0.031224097039919768,0.3302338967420849,0.7780468850614033,1.1747191137375796,-0.39667222867617635,1.952765998798983
3,0.5660183844849714,0.6794992297926523,-0.11348084530768088,1.2455176142776239,0.14950695532863179,0.180726245993699,-0.031219290665067206,0.3302332013223308,0.7780599234699926,1.1747157054660784,-0.39665578199608575,1.9527756289360712
4,0.5660294648452056,0.6794758535050421,-0.11344638865983658,1.2455053183502476,0.14950901181491624,0.18072349520758987,-0.03121448339267363,0.3302325070225061,0.7780729663757852,1.174712294736416,-0.39663932836063076,1.9527852611122012
5,0.5660405221149628,0.6794525035003741,-0.11341198138541131,1.245493025615337,0.14951106926846974,0.18072074451074638,-0.031209675242276635,0.3302318137792161,0.7780860136678901,1.1747088815550035,-0.39662286788711343,1.9527948952228935
6,0.5660515565199267,0.6794291795117154,-0.11337762299178877,1.245480736031642,0.14951312767646863,0.1807179939292695,-0.03120486625280086,0.3302311216057381,0.7780990652926456,1.1747054659617402,-0.3966064006690946,1.9528045312543858
7,0.5660523229354018,0.6794263126953795,-0.1133739897599777,1.2454786356307812,0.14951346273823982,0.18071764481191485,-0.031204182073675035,0.33023110755015467,0.7781006026572475,1.1747050691809116,-0.3966044665236641,1.952805671838159
8,0.5660633324050462,0.6794030173499781,-0.11333968494493185,1.2454663497550245,0.14951552226110623,0.1807148943749003,-0.03119937211379406,0.3302304166360065,0.7781136593941808,1.1747016510962485,-0.3965879917020677,1.9528153104904291
9,0.5660654826850304,0.6794001518200774,-0.11333466913504697,1.2454656345051078,0.14951573368611407,0.18071462944853448,-0.03119889576242041,0.33023036313464854,0.7781151249235975,1.174701314898947,-0.39658618997534945,1.9528164398225445
10,0.5660764662507793,0.6793768860479181,-0.11330041979713878,1.2454533522986975,0.14951779436668158,0.1807118791294125,-0.031194084762730917,0.3302296734960941,0.7781281869475382,1.1746978937096484,-0.39656970676211023,1.9528260806571867
11,0.5660874271578965,0.6793536460818611,-0.1132662189239646,1.2454410732397576,0.14951985600113332,0.18070912890553237,-0.031189272904399046,0.3302289849066657,0.7781412531095778,1.174694470144206,-0.3965532170346281,1.9528357232537839
12,0.5660983654779984,0.6793304319566368,-0.11323206647863837,1.2454287974346352,0.1495219185764697,0.1807063787697181,-0.031184460193248387,0.3302282973461878,0.7781543233616587,1.1746910442178817,-0.39653672085622305,1.9528453675795405
13,0.5661092813350327,0.6793072434828612,-0.11319796214782851,1.2454165248178939,0.14952398213508483,0.1807036287374062,-0.031179646602321365,0.33022761087249103,0.7781673978043316,1.1746876159518664,-0.3965202181475348,1.952855013756198
14,0.5661201749022355,0.6792840805426386,-0.11316390564040302,1.245404255444874,0.1495260466317125,0.1807008787979736,-0.0311748321662611,0.3302269254296861,0.7781804762921136,1.1746841853600924,-0.3965037090679788,1.952864661652206
15,0.5661224934025674,0.6792810727606964,-0.11315857935812901,1.2454035661632639,0.14952617781793792,0.18070064016853207,-0.03117446235059415,0.33022681798647,0.7781816619368368,1.174684191440507,-0.39650252950367026,1.952865853377344
16,0.5661333612217029,0.679257939218487,-0.1131245779967841,1.2453913004401898,0.14952824333468406,0.180697890198336,-0.031169646863651923,0.33022613353302005,0.7781947454463546,1.1746807580164016,-0.396486012570047,1.952875503462756
17,0.5661442069022102,0.6792348310751012,-0.11309062417289095,1.2453790379773113,0.14953030979744938,0.1806951403083782,-0.031164830510928804,0.3302254501058276,0.7782078328503059,1.1746773223030569,-0.39646948945275096,1.9528851551533628
18,0.5661550304289951,0.6792117483185668,-0.11305671788957172,1.2453667787475617,0.1495323772084061,0.18069239051904984,-0.031160013310643747,0.3302247677274559,0.7782209242572664,1.1746738842799795,-0.39645296002271313,1.952894808537246
19,0.5661658319044272,0.679188690897431,-0.1130228589930038,1.245354522801858,0.14953444556685222,0.18068964082209554,-0.031155195255243323,0.33022408638894774,0.7782340195162268,1.1746704439837818,-0.396436424467555,1.9529044635000088
20,0.5661766114647323,0.6791656586568581,-0.11298904719212577,1.2453422701215904,0.14953651485981664,0.18068689122144233,-0.03115037636162568,0.330223406081259,0.7782471185542538,1.1746670014317837,-0.39641988287752994,1.9529141199860374
21,0.5661873692311584,0.6791426515076702,-0.11295528227651175,1.2453300207388285,0.14953858510584428,0.18068414172476055,-0.03114555661891627,0.33022272683060483,0.7782602214400808,1.1746635566333061,-0.39640333519322535,1.9529237780733868
22,0.5661981051257368,0.6791196694928805,-0.11292156436714373,1.2453177746186173,0.14954065630429914,0.18068139230936225,-0.03114073600506312,0.3302220486136614,0.7782733281506335,1.1746601095741527,-0.39638678142351913,1.9529334377247862
23,0.5662088193723555,0.6790967123639472,-0.11288789299159174,1.2453055317363027,0.14954272843426109,0.18067864300495887,-0.03113591457069778,0.3302213714392199,0.7782864386902125,1.17465666026682,-0.3963702215766075,1.9529430989570327
24,0.5662195119526907,0.6790737802416301,-0.11285426828893941,1.245293292194321,0.14954480149388408,0.18067589379636573,-0.03113109230248165,0.3302206952902498,0.7782995529545529,1.1746532087280528,-0.3963536557734999,1.9529527616826057
25,0.5662301830522681,0.6790508728306061,-0.11282068977833792,1.2452810558828742,0.1495468754982504,0.18067314469273263,-0.03112626919448222,0.33022002019098307,0.7783126708819607,1.1746497549959216,-0.39633708411396096,1.9529624258778822
26,0.5662408326111416,0.6790279903012899,-0.11278715769014835,1.2452688229124314,0.14954895043600824,0.1806703956671124,-0.03112144523110416,0.33021934610312065,0.7783257925143671,1.1746462990285529,-0.3963205065141858,1.9529720915429198
27,0.5662514607575648,0.6790051324536671,-0.11275367169610229,1.245256593211232,0.1495510262926607,0.18066764674018004,-0.03111662044751934,0.33021867303284075,0.7783389178050385,1.1746428408627598,-0.39630392305772133,1.9529817586677982
28,0.5662620676011703,0.6789822991950393,-0.11272023159386901,1.2452443667962094,0.14955310309138636,0.18066489791231627,-0.031111794820929906,0.33021800100370263,0.778352046769157,1.1746393805069266,-0.3962873337377696,1.9529914272760838
29,0.5662726531267326,0.6789594905841578,-0.11268683745742525,1.2452321437108904,0.14955518080400312,0.18066214917910225,-0.03110696837509913,0.3302173299831054,0.778365179286673,1.1746359179737726,-0.3962707386870996,1.9530010972604457
30,0.5662832174940156,0.6789367064171112,-0.11265348892309568,1.2452199239111268,0.14955725944736825,0.1806594005323324,-0.031102141084964147,0.3302166599797006,0.7783783153000865,1.1746324532725718,-0.3962541379724853,1.9530107685726583
31,0.5662937607111362,0.6789139466775281,-0.1126201859663919,1.2452077073886643,0.14955933900528223,0.1806566519873616,-0.031097312982079378,0.33021599099264387,0.7783914549627708,1.1746289863957569,-0.396237531432986,1.9530204413585277
32,0.5663042828604169,0.6788912113193653,-0.11258692845894835,1.2451954941797823,0.14956141947279605,0.18065390353971975,-0.031092484066923692,0.33021532301251577,0.7784045981287371,1.174625517379551,-0.39622091925081393,1.953030115508288
33,0.5663147840463643,0.6788685002626675,-0.11255371621630328,1.2451832843090318,0.1495635008399129,0.1806511551878858,-0.031087654347972893,0.3302146560277987,0.7784177447872183,1.1746220461850394,-0.39620430139782115,1.9530397909722577
34,0.5663151175534322,0.6788660420358713,-0.11255092448243909,1.2451811595893036,0.14956379497645106,0.18065076092635854,-0.03108696594990748,0.33021455590280957,0.7784189957603275,1.1746216126569888,-0.39620261689666136,1.9530406084173162
35,0.5663255962341815,0.6788433574691635,-0.11251776123498192,1.245168953703345,0.14956587719125652,0.18064801267278596,-0.031082135481529438,0.3302138898640425,0.7784321467982388,1.1746181389489525,-0.3961859921507137,1.9530502857471914
36,0.5663360540870422,0.6788206970176807,-0.11248464293063842,1.245156751104723,0.14956796033379796,0.1806452645150276,-0.031077304181229642,0.33021322484882554,0.7784453013040975,1.1746146631104435,-0.396169361806346,1.953059964414541
37,0.5663464911996912,0.6787980606218387,-0.11245156942214751,1.2451445518215298,0.14957004436241583,0.18064251646354104,-0.03107247210112521,0.33021256082595685,0.7784584592068718,1.17461118515851,-0.3961527259516381,1.9530696443653817
38,0.5663569075834007,0.6787754482843962,-0.11241854070099544,1.245132355867797,0.14957212928830615,0.18063976850129448,-0.03106763921298833,0.33021189778960064,0.7784716205213678,1.1746077050766794,-0.3961360845553117,1.9530793255980472
39,0.5663673033705067,0.6787528598516179,-0.11238555648111126,1.2451201632221247,0.14957421513002905,0.1806370206453895,-0.031062805515360448,0.33021123577541855,0.7784847852482464,1.1746042228766334,-0.396119437628387,1.9530890081248797
40,0.5663776786169024,0.6787302953193283,-0.11235261670242591,1.2451079739362307,0.14957630185348159,0.180634272886198,-0.031057971032716403,0.3302105747396796,0.7784979533296725,1.174600738580857,-0.3961027852511845,1.9530986919105295
41,0.5663880333729862,0.678707754543655,-0.1123197211706688,1.245095787916641,0.14957838949584323,0.1806315252262328,-0.031053135730389564,0.33020991472207606,0.7785111247159953,1.174597252191521,-0.39608612747552563,1.9531083769075162
42,0.5663983677326567,0.6786852375351875,-0.11228686980253078,1.2450836052678442,0.14958047811822656,0.1806287775877416,-0.03104829946951504,0.33020925570596815,0.7785242994903769,1.1745937637065083,-0.3960694642161313,1.9531180631968852
43,0.5664000000399585,0.6786826204739613,-0.11228262043400283,1.2450826205139198,0.14958066009598653,0.18062853639075396,-0.031047876294767435,0.3302091964867405,0.7785256635454999,1.1745934439207621,-0.39606778037526225,1.9531191074662622
44,0.5664103115910921,0.6786601300856082,-0.1122498184945161,1.2450704416767002,0.14958275061253193,0.18062578803078824,-0.031043037418256314,0.33020853864332017,0.7785388416112703,1.1745899529560935,-0.3960511113448232,1.9531287945673639
45,0.5664206028312545,0.6786376633216684,-0.11221706049041391,1.245058266152923,0.14958484315992748,0.18062303881858646,-0.03103819565865898,0.3302078819785139,0.7785520230759839,1.174586459890697,-0.39603443681471306,1.953138482966681
46,0.5664224668997778,0.6786348531782098,-0.112212386278432,1.2450573200779878,0.14958503329602155,0.1806228111119538,-0.031037777815932255,0.33020784440797535,0.7785534901373184,1.1745865154104436,-0.3960330252731251,1.9531400055477621
47,0.5664327349007298,0.6786124131306038,-0.11217967822987407,1.2450451480313336,0.14958712823060671,0.18062006094184282,-0.03103293271123611,0.3302071891724495,0.7785666753947178,1.1745830200077336,-0.3960163446130158,1.9531496954024514
48,0.5664429827739245,0.6785899964950179,-0.11214701372109348,1.2450329792689425,0.14958922519715007,0.1806173099210727,-0.031028084723922628,0.33020653511822273,0.7785798639052374,1.174579522536709,-0.3959996586314717,1.9531593864419463
49,0.5664532105820217,0.6785676032845955,-0.11211439270257384,1.2450208138666172,0.14959132416849408,0.18061455807060053,-0.031023233902106456,0.33020588223909464,0.7785930556653063,1.1745760229866247,-0.3959829673213183,1.9531690786519311
50,0.5664634183652616,0.6785452333929527,-0.1120818150276911,1.2450086517582144,0.14959342513999882,0.1806118053695561,-0.031018380229557274,0.3302052305095549,0.7786062505850722,1.1745725214039264,-0.39596627081885427,1.9531787719889986
